nome,latitude,longitude,descricao,telefone
Sugoi Jabaquara,-23.60707315238858,-46.637489361918554,"Av. Jabaquara, 361 - 04045-000 - Saúde - São Paulo - SP",(11) 5584-0066
Sugoi Centro,-23.53809945367321,-46.63268844657957,"Rua Florêncio de Abreu, 656 - 01030-001 - Centro - São Paulo - SP",(11) 3329-8600
Sugoi Aricanduva,-23.538248789896244,-46.54710586192065,"Av. Aricanduva, 5.024 - 03527-000 - Aricanduva - São Paulo - SP",(11) 2727-0203
Sugoi Mogi,-23.53748390854749,-46.19334783493262,"Rua Dr. Deodato Wertheimer, 2896 - 08710-430 - Mogi Moderno - Mogi das Cruzes - SP",(11) 2629-6275
Sugoi Ceasa,-23.535587951984777,-46.73258267541499,"Av. Gastão Vidigal, 2209 - 05314-001 - Vila Leopoldina - São Paulo - SP",(11) 3831-9031
Sugoi São Bernardo do Campo,-23.70195332583942,-46.55098686191571,"Rua Santa Filomena, 339 - 09710-060 - Centro - São Bernardo do Campo - SP",(11) 4331-1919
XEQUE-MATE FISHING,-22.944372759239375,-47.35176713344904,"R. Carlos Roberto Pereira, 61 - Jardim Florence, Campinas - SP, 13059-020",(19) 98351-2802
CASA DO PESCADOR,-2.9986263848144117,-47.35177786228435,"R. São José, 20 - Centro, Paragominas - PA, 68625-450",(91) 99202-4445
Agropet Ponte Seca,-29.30815799792389,-51.4961972040511,"R. Buarque de Macedo, 2515 - Pte. Sêca, Carlos Barbosa - RS, 95185-000",(54) 3461-6454
Bambui rações,-22.941028455818817,-42.748733160091895,"Est. Antônio Callado, 01 - Bambui, Maricá - RJ, 24920-710",(21) 97277-9991
Agropet Cãoiçara,-24.033475496449096,-46.50055340423452,"Av. Pres. Kennedy, 9778 - Maracanã, Praia Grande - SP, 11705-750",(13) 3356-6293
Loja Yumi Pesca,-23.624087611587075,-45.4146151754122,"Av. Miguel Varlez, 85 - Jardim Primavera, Caraguatatuba - SP, 11660-650",(12) 992284760
Juréia Pesca,-24.29240750902274,-46.965848990292145,"Av. Padre Anchieta, n° 5320 - Pq. Imperador, Peruíbe - SP, 11772-526",(13)99692-5378
TASSY PESCA,-23.662680903685036,-45.43515102143476,"R. Álvaro Theodoro da Cruz, 587 - Jardim Britania, Caraguatatuba - SP, 11672-190",(12) 98853-5229
Tarpon Loja De Pesca,-15.405866636692366,-39.02292981806432,"Av. Prof. Assis Gonçalves, 1253 - Centro, Canavieiras - BA, 45860-000",(73)99995-8837
Loja Acqua Azul,-23.85512015772564,-46.14052848889913,"Av. Vicente de Carvalho, 102 - loja - Centro, Bertioga - SP, 11250-045",(13) 99750-3094
CAMPEÃO DA PESCA,-20.19744139213257,-40.24891677551129,"Av. Central, 318 - Parque Res. Laranjeiras, Serra - ES, 29165-130",(27) 3218-1127
HRC SURFCASTING LTDA,-26.269076373042264,-48.83530853299624,"R. Piratuba, 647 - Saguaçu, Joinville - SC, 89221-596",(47) 99691-4108
PORTO SPORT FISHING,-16.431825825969998,-39.09025311787586,"PRAÇA MIRANTE CARAVELAS, 30 - MIRANTE CARAVELAS, Porto Seguro - BA, 45810-000",(73) 991353983
KRITICAL FISHING,-23.985564938275694,-46.29527704656544,"Pça. ALM. Gago Coutinho, 28 - sala 12 - Ponta da Praia, Santos - SP, 11030-200",(13) 97407-4748
ISCARIA CHICO ARTS DE PESCA,-29.98265164167149,-50.13471416169589,"R. David Canabarro, 124 - Centro, Tramandaí - RS, 95590-000",(51) 3684-4679
